Color,Hex_Code,Team,color_level
White,#ffffff;,Mississippi State Bulldogs,2
Gray,#CCCCCC;,Mississippi State Bulldogs,3
Dark Gray,#75787B;,Mississippi State Bulldogs,4
Black,#000000;,Missouri Tigers,1
Gold,#F1B82D;,Missouri Tigers,2
MIDNIGHT BLUE ,#041E42;,Monmouth Hawks,1
GREY ,#53565A;,Monmouth Hawks,2
WHITE,#FFFFFF;,Monmouth Hawks,3
Maroon ,NA,Montana Grizzlies,1
Silver ,NA,Montana Grizzlies,2
Blue ,NA,Montana State Bobcats,1
Gold ,NA,Montana State Bobcats,2
Morgan Blue,#1b4383;,Morgan State Bears,1
Morgan Orange,#f47937;,Morgan State Bears,2
Morgan Brown,#CDA177;,Morgan State Bears,3
Morgan Gold,#FFBF3F;,Morgan State Bears,4
White,#ffffff;,Morgan State Bears,5
Black,#000000;,Morgan State Bears,6
Gold,#FFCF00;,Morehead State Eagles,1
Blue,#005EB8;,Morehead State Eagles,2
White,#ffffff;,Morehead State Eagles,3
Black,#000000;,Morehead State Eagles,4
MURRAY STATE GOLD,#ECAC00;,Murray State Racers,1
MURRAY STATE BLUE,#002144;,Murray State Racers,2
White,#ffffff;,Murray State Racers,3
NAVY BLUE,NA,Navy Midshipmen,1
Gold,#C5B783;,Navy Midshipmen,2
Husker Red,#e41c38;,Nebraska Cornhuskers,1
Black,#000000;,Nebraska Cornhuskers,2
