Season_Year,Team,Conference
1933,Nichols Jr. Coll,None
1933,Northeastern,None
1933,Point Edward,None
1933,Princeton,Ivy League
1933,Royal Military,None
1933,St. Anselm,None
1933,St. Dominique,None
1933,St. Nick's,None
1933,Toronto,None
1933,Union,None
1933,Union Boat Club,None
1933,White Bear,None
1933,Williams,None
1933,Wisconsin,None
1933,Yale,Ivy League
1934,63,None
1934,AAU All-Stars,None
1934,Army,None
1934,Ascensions (AAU),None
1934,Boston College,None
1934,Boston Olympics,None
1934,Boston University,None
1934,Brown,None
1934,Chatham A.C.,None
1934,Clarkson,None
1934,Colby,None
1934,Colgate,None
1934,Cornell,None
1934,Dartmouth,Ivy League
1934,Essex Frontiers,None
1934,Hamilton,None
1934,Harvard,Ivy League
1934,London H.C.,None
1934,MIT,None
1934,Manitoba,None
1934,Mass. State Coll,None
1934,Massachusetts State,None
1934,McGill,None
1934,McMaster,None
1934,Michigan,None
1934,Michigan Tech,None
1934,Middlebury,None
1934,Minnesota,None
1934,New Hampshire,None
1934,New Haven Eagles,None
1934,Northeastern,None
1934,Ontario Ag.,None
1934,Point Edward,None
1934,Princeton,Ivy League
1934,Royal Military,None
1934,St. Anselm,None
1934,St. Nick's,None
1934,Syracuse,None
1934,Toronto,None
1934,Union,None
1934,Williams,None
1934,Wisconsin,None
1934,Yale,Ivy League
1935,56,None
1935,63,None
1935,AAU All-Stars,None
1935,Army,None
1935,Boston College,None
1935,Boston Olympics,None
1935,Boston University,None
1935,Brown,None
1935,Carleton (Ont.),None
1935,Chatham A.C.,None
1935,Clarkson,None
1935,Colby,None
1935,Colgate,None
1935,Cornell,None
1935,Dartmouth,Ivy League
1935,Dayton's (AAU),None
1935,Fitchburg State,None
1935,Hamilton,None
1935,Harvard,Ivy League
1935,Ilderton A.C.,None
1935,London H.C.,None
1935,MIT,None
1935,Manitoba,None
1935,Massachusetts State,None
1935,McGill,None
1935,McMaster,None
1935,Michigan,None
1935,Michigan Tech,None
1935,Middlebury,None
1935,Minnesota,None
1935,New Hampshire,None
1935,New York A.C.,None
1935,New York Rovers,None
1935,Northeastern,None
1935,Ontario Ag.,None
1935,Point Edward,None
1935,Princeton,Ivy League
1935,Royal Military,None
1935,St. Anselm,None
1935,St. Nick's,None
1935,Syracuse,None
1935,Toronto,None
1935,Union,None
1935,Wheaties (AAU),None
1935,Williams,None
1935,Yale,Ivy League
1935,Yale Alumni,None
1936,Army,None
1936,Boston College,None
1936,Boston Olympics,None
1936,Boston University,None
1936,Brantford A.C.,None
1936,Brown,None
1936,Carleton (Ont.),None
1936,Chatham A.C.,None
1936,Clarkson,None
1936,Colby,None
1936,Colgate,None
1936,Cornell,None
1936,Dartmouth,Ivy League
1936,Fairbanks-Dawson,None
1936,Hamilton,None
1936,Harvard,Ivy League
1936,London H.C.,None
1936,MIT,None
1936,Manitoba,None
1936,Mass. State Coll,None
1936,McGill,None
1936,McMaster,None
1936,Michigan,None
1936,Michigan Tech,None
1936,Middlebury,None
1936,Minnesota,None
1936,Montreal,None
1936,New Hampshire,None
1936,New York Rovers,None
1936,Northeastern,None
1936,Ontario Ag.,None
1936,Princeton,Ivy League
1936,Queen's,None
1936,Royal Military,None
1936,Sarnia A.C.,None
1936,Springfield,None
1936,St. Anselm,None
1936,St. Nick's,None
1936,Toronto,None
1936,Union,None
1936,Western Ontario,None
1936,Williams,None
1936,Yale,CCHA
1936,Yale Alumni,None
1937,430,None
1937,Alexander Filmer,None
1937,Army,None
1937,Bankers,None
1937,Boston College,None
1937,Boston Olympics,None
1937,Boston University,None
1937,Brantford A.C.,None
1937,Broadmoor Hotelm,None
1937,Brown,None
1937,Clarkson,None
1937,Colby,None
1937,Colgate,None
1937,Colorado College,None
1937,Colorado Mines,None
1937,Cornell,None
1937,Dartmouth,Ivy League
1937,Duluth (IHL),None
1937,"Giddings, Inc.",None
1937,Gonzaga,None
1937,Hamilton,None
1937,Harvard,Ivy League
1937,Ideal Cleaners,None
1937,Illinois,None
1937,London H.C.,None
1937,MIT,None
1937,Manhattan Arrows,None
1937,Manitoba,None
1937,Mass. State Coll,None
1937,Massachusetts State,None
1937,McGill,None
1937,McMaster,None
1937,Michigan,None
1937,Michigan Tech,None
1937,Middlebury,None
1937,Minnesota,None
1937,Montreal,None
1937,New Hampshire,None
1937,Newton Lumberjac,None
1937,Northeastern,None
1937,Ontario Ag.,None
1937,Paris A.C.,None
1937,Price and Young,None
1937,Princeton,Ivy League
1937,Queen's,None
1937,RPI,None
1937,Royal Military,None
1937,Sarnia A.C.,None
1937,St. Anselm,None
1937,St. Nick's,None
1937,Toronto,None
1937,USC,None
1937,Union,None
1937,Western Ontario,None
1937,Williams,None
1937,Yale,CCHA
1937,Yale Alumni,None
1938,Alexander Filmer,None
1938,Army,None
1938,Boston College,None
1938,Boston Olympics,None
1938,Boston University,None
1938,Brock Hall,None
1938,Brown,None
1938,Brown Alumni,None
1938,C. Springs Merch,None
1938,Clarkson,None
1938,Cleveland AS,None
1938,Colby,None
1938,Colgate,None
1938,Colorado,None
1938,Colorado College,None
1938,Colorado Mines,None
1938,Cornell,None
1938,Dartmouth,Ivy League
1938,Duluth (IHL),None
